"Odds.homeWin","Odds.draw","Odds.awayWin","halfTime_score_Home","halfTime_score_Away","fullTime_score_Home","fullTime_score_Away","homeTeam","awayTeam","winner"
2.01,3.24,3.76,0,2,0,2,"Fortaleza EC","CA Paranaense","AWAY_TEAM"
3.77,3.06,2.1,0,1,0,1,"Coritiba FBC","SC Internacional","AWAY_TEAM"
2.9,2.93,2.6,3,2,3,2,"SC Recife","Ceará SC","HOME_TEAM"
2.14,3.24,3.39,0,1,1,1,"Santos FC","RB Bragantino","DRAW"
1.46,4.46,6.29,0,1,0,1,"CR Flamengo","CA Mineiro","AWAY_TEAM"
1.58,3.66,6.12,1,0,1,0,"Grêmio FBPA","Fluminense FC","HOME_TEAM"
1.98,3.21,3.99,0,2,3,2,"CA Mineiro","SC Corinthians Paulista","HOME_TEAM"
1.27,5.33,9.88,1,1,2,1,"CA Paranaense","Goiás EC","HOME_TEAM"
1.61,3.75,5.42,1,1,1,1,"RB Bragantino","Botafogo FR","DRAW"
6.98,4.34,1.44,2,0,3,0,"AC Goianiense","CR Flamengo","HOME_TEAM"
2.08,2.95,4.02,1,0,1,0,"EC Bahia","Coritiba FBC","HOME_TEAM"
4.45,3.26,1.86,1,1,1,1,"Fluminense FC","SE Palmeiras","DRAW"
2.59,2.91,2.91,1,1,1,1,"Ceará SC","Grêmio FBPA","DRAW"
1.57,3.65,6.32,1,0,1,0,"São Paulo FC","Fortaleza EC","HOME_TEAM"
1.84,3.21,4.67,0,0,2,0,"SC Internacional","Santos FC","HOME_TEAM"
2.1,2.99,3.89,2,0,2,0,"CR Vasco da Gama","SC Recife","HOME_TEAM"
1.75,3.21,5.39,0,0,0,0,"Grêmio FBPA","SC Corinthians Paulista","DRAW"
5.22,3.66,1.65,0,1,0,1,"Coritiba FBC","CR Flamengo","AWAY_TEAM"
1.18,6.61,14.27,1,1,1,1,"SE Palmeiras","Goiás EC","DRAW"
1.55,3.86,6.07,0,0,2,0,"CA Mineiro","Ceará SC","HOME_TEAM"
2.81,3.09,2.56,1,1,2,1,"EC Bahia","RB Bragantino","HOME_TEAM"
3.08,3.1,2.37,0,1,2,1,"CR Vasco da Gama","São Paulo FC","HOME_TEAM"
3.53,2.99,2.21,1,1,2,1,"Fluminense FC","SC Internacional","HOME_TEAM"
2,3.1,4.01,1,1,1,1,"AC Goianiense","SC Recife","DRAW"
2,3.13,3.97,0,0,0,0,"Fortaleza EC","Botafogo FR","DRAW"
2.39,3.12,3.02,2,1,3,1,"Santos FC","CA Paranaense","HOME_TEAM"
2.03,3.1,3.95,0,1,1,1,"CR Flamengo","Grêmio FBPA","DRAW"
2.05,3.19,3.72,1,1,2,1,"RB Bragantino","Fluminense FC","HOME_TEAM"
3.43,2.95,2.28,0,1,0,1,"CA Paranaense","SE Palmeiras","AWAY_TEAM"
1.74,3.35,5.04,0,0,3,0,"SC Internacional","AC Goianiense","HOME_TEAM"
2.68,2.94,2.81,0,3,1,3,"Goiás EC","Fortaleza EC","AWAY_TEAM"
4.39,3.42,1.82,1,1,2,1,"Botafogo FR","CA Mineiro","HOME_TEAM"
1.82,3.13,5,1,1,3,1,"SC Corinthians Paulista","Coritiba FBC","HOME_TEAM"
2.44,3.14,2.92,0,1,0,1,"SC Recife","Santos FC","AWAY_TEAM"
1.73,3.4,5.14,0,1,1,1,"São Paulo FC","EC Bahia","DRAW"
2.06,3.06,3.91,0,3,0,3,"Ceará SC","CR Vasco da Gama","AWAY_TEAM"
1.89,3.2,4.35,0,1,0,1,"CA Paranaense","Fluminense FC","AWAY_TEAM"
2.25,3.2,3.21,1,0,1,0,"SC Internacional","CA Mineiro","HOME_TEAM"
2.9,2.95,2.57,1,0,2,0,"Goiás EC","AC Goianiense","HOME_TEAM"
1.36,4.68,8.61,0,1,1,1,"CR Flamengo","Botafogo FR","DRAW"
3.83,3.11,2.06,0,0,0,0,"CR Vasco da Gama","Grêmio FBPA","DRAW"
1.95,3.11,4.25,1,1,2,1,"SE Palmeiras","Santos FC","HOME_TEAM"
1.57,3.75,6.09,1,2,1,2,"RB Bragantino","Coritiba FBC","AWAY_TEAM"
3.31,3.04,2.28,0,1,0,1,"SC Recife","São Paulo FC","AWAY_TEAM"
2.11,3.11,3.67,1,0,2,0,"Ceará SC","EC Bahia","HOME_TEAM"
1.96,3.15,4.13,0,0,1,0,"São Paulo FC","CA Paranaense","HOME_TEAM"
1.87,3.28,4.28,0,1,1,1,"SC Corinthians Paulista","Fortaleza EC","DRAW"
3.96,3.17,2,0,2,0,2,"Botafogo FR","SC Internacional","AWAY_TEAM"
4.1,3.06,2.01,0,1,1,1,"EC Bahia","SE Palmeiras","DRAW"
2.31,3.02,3.28,1,1,2,1,"Fluminense FC","CR Vasco da Gama","HOME_TEAM"
2.39,3.1,3.04,1,0,3,0,"Fortaleza EC","RB Bragantino","HOME_TEAM"
2.16,3.04,3.57,1,1,2,1,"São Paulo FC","SC Corinthians Paulista","HOME_TEAM"
3.33,3.18,2.19,0,1,0,1,"Santos FC","CR Flamengo","AWAY_TEAM"
2.27,2.93,3.42,0,0,1,0,"Coritiba FBC","SC Recife","HOME_TEAM"
2.43,3.1,2.97,0,2,0,2,"AC Goianiense","Ceará SC","AWAY_TEAM"
2.51,2.97,2.96,1,0,1,0,"Ceará SC","Fortaleza EC","HOME_TEAM"
3.45,3.14,2.16,0,2,1,2,"Goiás EC","SC Corinthians Paulista","AWAY_TEAM"
1.58,3.68,5.9,1,1,1,1,"Fluminense FC","AC Goianiense","DRAW"
2.08,3.13,3.68,0,0,0,0,"Botafogo FR","Coritiba FBC","DRAW"
4.17,3.22,1.92,2,5,3,5,"EC Bahia","CR Flamengo","AWAY_TEAM"
2.06,3.24,3.6,1,1,1,1,"CA Paranaense","RB Bragantino","DRAW"
1.8,3.45,4.4,1,2,2,2,"Santos FC","CR Vasco da Gama","DRAW"
2.27,3.07,3.26,0,1,1,1,"SE Palmeiras","SC Internacional","DRAW"
1.36,4.55,8.64,0,2,1,2,"Grêmio FBPA","SC Recife","AWAY_TEAM"
1.99,3.18,3.9,2,0,3,0,"CA Mineiro","São Paulo FC","HOME_TEAM"
1.41,4.36,7.47,1,1,2,1,"CR Flamengo","Fortaleza EC","HOME_TEAM"
1.76,3.36,4.85,1,2,2,2,"SC Corinthians Paulista","Botafogo FR","DRAW"
2.42,3.02,3.06,0,1,0,1,"Ceará SC","Santos FC","AWAY_TEAM"
3.58,3.16,2.09,0,2,1,2,"RB Bragantino","SE Palmeiras","AWAY_TEAM"
1.97,3.26,3.91,0,1,3,1,"São Paulo FC","Fluminense FC","HOME_TEAM"
