"Odds.homeWin","Odds.draw","Odds.awayWin","halfTime_score_Home","halfTime_score_Away","fullTime_score_Home","fullTime_score_Away","homeTeam","awayTeam","winner"
2.56,3.08,2.94,0,0,1,0,"Sheffield Wednesday FC","Derby County FC","HOME_TEAM"
2.69,3,2.86,1,1,2,1,"Swansea City AFC","Watford FC","HOME_TEAM"
1.69,3.88,4.83,0,0,1,0,"Norwich City FC","Barnsley FC","HOME_TEAM"
3.41,3.2,2.22,0,2,0,2,"Birmingham City FC","Blackburn Rovers FC","AWAY_TEAM"
2.42,3.2,3.04,0,1,0,1,"Preston North End FC","Nottingham Forest FC","AWAY_TEAM"
2.47,3.17,2.97,1,2,1,2,"Huddersfield Town AFC","Reading FC","AWAY_TEAM"
2.06,2.97,4.32,0,2,1,2,"Millwall FC","Coventry City FC","AWAY_TEAM"
4.34,3.36,1.9,1,3,1,3,"Wycombe Wanderers FC","Middlesbrough FC","AWAY_TEAM"
3.29,3.22,2.26,0,1,0,1,"Stoke City FC","AFC Bournemouth","AWAY_TEAM"
2.41,3.17,3.06,0,2,0,2,"Luton Town FC","Queens Park Rangers FC","AWAY_TEAM"
1.89,3.48,3.96,1,1,1,1,"AFC Bournemouth","Millwall FC","DRAW"
1.89,3.48,3.97,0,1,0,1,"Middlesbrough FC","Birmingham City FC","AWAY_TEAM"
2.09,3.34,3.5,0,1,1,1,"Blackburn Rovers FC","Stoke City FC","DRAW"
2.39,2.98,3.2,1,1,3,1,"Nottingham Forest FC","Millwall FC","HOME_TEAM"
1.9,3.43,3.97,0,1,0,1,"Derby County FC","Rotherham United FC","AWAY_TEAM"
2.39,3.19,2.98,1,0,2,0,"Bristol City FC","Preston North End FC","HOME_TEAM"
2.83,3.22,2.48,0,2,1,2,"Cardiff City FC","Norwich City FC","AWAY_TEAM"
1.79,3.49,4.48,0,0,2,0,"Watford FC","Huddersfield Town AFC","HOME_TEAM"
1.54,4,6.03,0,1,0,1,"AFC Bournemouth","Luton Town FC","AWAY_TEAM"
2.59,3.23,2.69,0,2,0,2,"Barnsley FC","Swansea City AFC","AWAY_TEAM"
3.71,3.49,1.96,1,0,1,0,"Derby County FC","AFC Bournemouth","HOME_TEAM"
2.17,3.38,3.28,1,0,3,0,"Reading FC","Coventry City FC","HOME_TEAM"
1.85,3.46,4.3,1,0,1,0,"Watford FC","Barnsley FC","HOME_TEAM"
3.2,3.06,2.35,1,3,3,3,"Rotherham United FC","Stoke City FC","DRAW"
1.57,3.8,5.96,1,0,2,0,"Norwich City FC","Bristol City FC","HOME_TEAM"
2.53,3.05,2.95,0,2,1,2,"Nottingham Forest FC","Middlesbrough FC","AWAY_TEAM"
2.62,3.17,2.75,0,1,0,1,"Huddersfield Town AFC","Millwall FC","AWAY_TEAM"
1.96,3.52,3.74,0,1,0,1,"Cardiff City FC","Queens Park Rangers FC","AWAY_TEAM"
1.56,4.03,5.61,1,0,1,0,"Brentford FC","Luton Town FC","HOME_TEAM"
2.49,3.14,2.92,0,1,0,1,"Birmingham City FC","Preston North End FC","AWAY_TEAM"
2.87,3.21,2.44,0,2,1,2,"Stoke City FC","Watford FC","AWAY_TEAM"
2.44,3.27,2.82,0,1,0,1,"Queens Park Rangers FC","Derby County FC","AWAY_TEAM"
2.33,3.17,3.07,0,0,0,0,"Preston North End FC","Reading FC","DRAW"
2.39,3.17,2.97,0,1,0,1,"Middlesbrough FC","Blackburn Rovers FC","AWAY_TEAM"
2.83,3.28,2.43,0,0,0,0,"Millwall FC","Watford FC","DRAW"
2.42,3.2,2.99,2,1,2,1,"Bristol City FC","Huddersfield Town AFC","HOME_TEAM"
1.53,4.22,5.57,0,3,0,3,"Middlesbrough FC","Rotherham United FC","AWAY_TEAM"
2.18,3.28,3.28,0,0,2,0,"Coventry City FC","Sheffield Wednesday FC","HOME_TEAM"
2.6,3.3,2.7,0,1,1,1,"Swansea City AFC","Brentford FC","DRAW"
2.38,3.24,2.97,1,2,2,2,"Barnsley FC","Cardiff City FC","DRAW"
3.27,3.17,2.23,3,1,3,1,"Reading FC","AFC Bournemouth","HOME_TEAM"
1.89,3.48,3.97,0,0,0,0,"Norwich City FC","Middlesbrough FC","DRAW"
2.29,3.11,3.22,0,1,1,1,"Cardiff City FC","Millwall FC","DRAW"
1.31,5.36,8.29,2,2,7,2,"Brentford FC","Wycombe Wanderers FC","HOME_TEAM"
3.28,3.28,2.18,0,3,1,3,"Rotherham United FC","Swansea City AFC","AWAY_TEAM"
1.64,3.6,5.45,0,0,1,0,"Blackburn Rovers FC","Luton Town FC","HOME_TEAM"
